Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,ConnectionReceivedId,ConnectionSentId,Split_Effective_Date__c,New_Business_Split__c,Split_End_Date__c
aJR5f000000g1wgGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:38:43.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:39.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:39.000+0000,,1,,2021-12-13T20:38:55.000+0000,2021-12-13T20:38:55.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1x0GAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T21:31:56.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:42.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:42.000+0000,,1,,2021-12-13T21:31:58.000+0000,2021-12-13T21:31:58.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wlGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:43:08.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:44.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:44.000+0000,,1,,2021-12-13T20:43:09.000+0000,2021-12-13T20:43:09.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wvGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:55:27.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:48.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:48.000+0000,,1,,2021-12-13T20:55:28.000+0000,2021-12-13T20:55:28.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wbGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:36:05.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:50.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:50.000+0000,,1,,2021-12-13T20:36:07.000+0000,2021-12-13T20:36:07.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wmGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:52:00.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:52.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:52.000+0000,,1,,2021-12-13T20:52:02.000+0000,2021-12-13T20:52:02.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wqGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:48:41.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:55.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:55.000+0000,,1,,2021-12-13T20:48:43.000+0000,2021-12-13T20:48:43.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g25fGAA,0055f000000IBlHAAW,,*Standard 65/35,2021-12-17T16:54:27.000+0000,0055f000000IBlHAAW,2021-12-17T16:54:27.000+0000,0055f000000IBlHAAW,2021-12-17T16:54:27.000+0000,,1,,2021-12-17T16:54:29.000+0000,2021-12-17T16:54:29.000+0000,,,2021-01-01,,2100-12-31
aJR5f000000g25aGAA,0055f000000IBlHAAW,,*First Year Split BOR 60/40,2021-12-17T16:52:19.000+0000,0055f000000IBlHAAW,2021-12-17T16:55:08.000+0000,0055f000000IBlHAAW,2021-12-17T16:55:08.000+0000,,1,,2021-12-17T16:55:08.000+0000,2021-12-17T16:55:08.000+0000,,,2022-01-01,1,2100-12-31
aJR5f000000g25VGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-16T00:22:00.000+0000,0055f000000IBlHAAW,2021-12-16T15:43:40.000+0000,0055f000000IBlHAAW,2021-12-16T15:43:40.000+0000,,1,,2021-12-16T15:43:40.000+0000,2021-12-16T15:43:40.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g2QiGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:32:25.000+0000,0055f000000IBlHAAW,2022-01-27T16:32:25.000+0000,0055f000000IBlHAAW,2022-01-27T16:32:25.000+0000,,1,,2022-01-27T16:32:27.000+0000,2022-01-27T16:32:27.000+0000,,,2019-01-01,,2032-01-01
aJR5f000000g2QnGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:40:02.000+0000,0055f000000IBlHAAW,2022-01-27T16:40:02.000+0000,0055f000000IBlHAAW,2022-01-27T16:40:02.000+0000,,1,,2022-01-27T16:40:03.000+0000,2022-01-27T16:40:03.000+0000,,,2021-03-01,,2040-01-01
aJR5f000000g2QoGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:41:42.000+0000,0055f000000IBlHAAW,2022-01-27T16:41:42.000+0000,0055f000000IBlHAAW,2022-01-27T16:41:42.000+0000,,1,,2022-01-27T16:41:44.000+0000,2022-01-27T16:41:44.000+0000,,,2019-01-17,,2037-01-21
aJR5f000000g2QxGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T17:06:05.000+0000,0055f000000IBlHAAW,2022-01-27T17:06:05.000+0000,0055f000000IBlHAAW,2022-01-27T17:06:05.000+0000,,1,,2022-01-27T17:06:08.000+0000,2022-01-27T17:06:08.000+0000,,,2011-01-01,,2032-01-08
aJR5f000000g2QsGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:50:16.000+0000,0055f000000IBlHAAW,2022-01-27T16:50:16.000+0000,0055f000000IBlHAAW,2022-01-27T16:50:16.000+0000,,1,,2022-01-27T16:50:19.000+0000,2022-01-27T16:50:19.000+0000,,,2021-12-01,,2034-02-03
